route,description,operator
1,Piccadilly - Spinningfields circular,Stagecoach Manchester
1,Blackburn - Darwen - Astley Bridge - Bolton,[LNUD] Blackburn Bus Company
10,Brookhouse - Eccles - Pendleton - Manchester,Go North West
100,Manchester - Warrington,Stagecoach Manchester
101,Manchester - Wythenshawe,Go North West
102,Piccadilly - Southern Cemetery,Go North West
103,Manchester Airport - Wythenshawe - Manchester,Go North West
11,Stockport - Altrincham,Stagecoach Manchester
110,Preston - Walton Park - Shevington Moor - Wigan,[HWCO] Holmeswood Coaches
111,Southern Cemetery - Piccadilly,Go North West
112,Manchester - Middleton,Stagecoach Manchester
113,Middleton - Manchester,Stagecoach Manchester
114,Manchester - Alkrington,Stagecoach Manchester
115,Middleton - Moston/Blackley Circular,Stagecoach Manchester
116,Middleton - Blackley/Moston Circular,Stagecoach Manchester
117,Manchester - Greengate,Stagecoach Manchester
118,Manchester - Moston - NMGH,Stagecoach Manchester
119,Manchester - Moston - Higher Blackley,Stagecoach Manchester
125,Preston - Bolton,[SCCU] Stagecoach Cumbria & North Lancs
125,Preston - Bolton,[SCMY] Stagecoach Merseyside & South Lancs
125,Middleton - Heywood,Stagecoach Manchester
126,Trafford Centre - Boothstown - Astley - Leigh,Diamond
126,The Trafford Centre - Boothstown - Leigh,Diamond
127,Chorley - Middlebrook,[SCCU] Stagecoach Cumbria & North Lancs
127,Chorley - Horwich,[SCMY] Stagecoach Merseyside & South Lancs
129,Middleton - Hollin,Stagecoach Manchester
130,Macclesfield - Manchester Airport,[DAGC] D&G Bus
130,Macclesfield - Macclesfield Hosp - Wilmslow - Hand,[HIPK] High Peak
132,Trafford Centre - Boothstown - Tyldesley - Atherto,Diamond
135,Manchester - Bury,Stagecoach Manchester
142,Manchester - Didsbury - Parrs Wood,Go North West
142,Manchester - Didsbury - Parrs Wood,Go North West
143,Manchester - Fallowfield,Go North West
143,Manchester - West Didsbury,Go North West
147,Manchester - West Didsbury,Go North West
